st_name,pc_name,pc_code,pc_total_pop_1991,pc_literate_males_1991
AN,Andaman & Nicobar Islands,U0101,241453,90709
AP,Adilabad,S0135,2064084,403416
AP,Amalapuram,S0109,4232767,985397
AP,Anakapalli,S0106,3255072,778458
AP,Anantapur,S0125,3108924,750968
AP,Bapatla,S0116,3298148,779946
AP,Bhadrachalam,S0105,3115188,705126
AP,Bobbili,S0103,2179711,428520
AP,Chittoor,S0121,3215855,876372
AP,Cuddapah,S0123,2290554,625159
AP,Eluru,S0111,3502078,889736
AP,Guntur,S0115,4066869,995550
AP,Hanamkonda,S0138,2850962,622855
AP,Hindupur,S0124,3080415,748723
AP,Hyderabad,S0130,2551157,644877
AP,Kakinada,S0107,4443569,1031475
AP,Karimnagar,S0137,2973132,635811
AP,Khammam,S0140,2261378,480694
AP,Kurnool,S0126,2941371,656724
AP,Machilipatnam,S0112,3687805,959037
AP,Mahabubnagar,S0129,3044654,519119
AP,Medak,S0133,2173313,414419
AP,Miryalguda,S0142,2851160,608132
AP,Nagarkurnool,S0128,3018613,534266
AP,Nalgonda,S0141,2797869,614206
AP,Nandyal,S0127,2931251,654777
AP,Narasapur,S0110,3540208,893003
AP,Narasaraopet,S0117,3269456,768133
AP,Nellore,S0119,2389165,597840
AP,Nizamabad,S0134,2052806,403692
AP,Ongole,S0118,2594600,614336
AP,Parvathipuram,S0102,2326970,450075
AP,Peddapalli,S0136,2617845,537589
AP,Rajahmundry,S0108,4484008,1042653
AP,Rajampet,S0122,2671607,728773
AP,Secunderabad,S0131,2943768,936195
AP,Siddipet,S0132,2274063,428184
AP,Srikakulam,S0101,2368291,488576
AP,Tenali,S0114,3895206,982401
AP,Tirupathi,S0120,2946492,785859
AP,Vijayawada,S0113,3554909,914020
AP,Visakhapatnam,S0104,2513836,524612
AP,Warangal,S0139,2801838,615825
AR,Arunachal East,S0202,83252,20851
AR,Arunachal West,S0201,108452,25698
AS,Autonomous District,S0303,814993,215461
AS,Barpeta,S0306,1195679,281511
AS,Dhubri,S0304,714213,149737
AS,Dibrugarh,S0313,900715,255068
AS,Gauhati,S0307,1476240,466003
AS,Jorhat,S0312,654960,206212
AS,Kaliabor,S0311,926573,251595
AS,Karimganj,S0301,648369,191152
AS,Kokrajhar,S0305,989752,230381
AS,Lakhimpur,S0314,792031,223477
AS,Mangaldoi,S0308,1402894,351385
AS,Nowgong,S0310,1339461,342961
AS,Silchar,S0302,941941,280071
AS,Tezpur,S0309,1363749,341827
BR,Araria,S0422,1822755,295448
BR,Arrah,S0433,2913495,828186
BR,Aurangabad,S0437,1900802,462026
BR,Bagaha,S0401,2462462,430236
BR,Balia,S0419,1801713,380119
BR,Banka,S0426,2859721,641734
BR,Barh,S0418,3103254,902689
BR,Begusarai,S0430,2678893,622694
BR,Bettiah,S0402,2719287,460699
