st_name,pc_name,pc_code,pc91_state_id,pc91_district_id,state_clean,district_clean,pc_weight_relative,dist_weight_relative,pc_weight_absolute
AN,Andaman & Nicobar Islands,U0101,27,1,andaman nicobar islands,south andaman,0.5019995862269003,0.5019995862269003,0.1086156614004233
AN,Andaman & Nicobar Islands,U0101,27,1,andaman nicobar islands,south andaman,0.4980004137730997,0.4980004137730997,0.10775037630250377
AP,Adilabad,S0135,2,19,andhra pradesh,adilabad,0.8880019937796324,0.7501758541417229,0.887166517511579
AP,Adilabad,S0135,14,29,maharashtra,chandrapur,0.04703038247756123,0.05439453182977923,0.04698613396380482
AP,Adilabad,S0135,14,19,maharashtra,nanded,0.04258138072390075,0.052556649678258835,0.04254131805140117
AP,Adilabad,S0135,14,25,maharashtra,yavatmal,0.013648480434645694,0.013410834749767815,0.013635639268096505
AP,Adilabad,S0135,14,30,maharashtra,gadchiroli,0.008737762584259868,0.007593418574640176,0.00872954166434508
AP,Amalapuram,S0109,2,4,andhra pradesh,east godavari,0.8826829782636026,0.18218773265112556,0.8726977713052719
AP,Amalapuram,S0109,2,5,andhra pradesh,west godavari,0.06417357789450531,0.016796574917278265,0.06344762478074556
AP,Amalapuram,S0109,33,4,puducherry,yanam,0.053143443841891985,0.8640095601059357,0.052542267317242555
AP,Anakapalli,S0106,2,3,andhra pradesh,visakhapatnam,0.9600775044652561,0.37552919213160557,0.9600775044652564
AP,Anakapalli,S0106,2,2,andhra pradesh,vizianagaram,0.032475501713990995,0.021315301771936388,0.03247550171399101
AP,Anakapalli,S0106,2,4,andhra pradesh,east godavari,0.007446993820752944,0.003134637878547908,0.007446993820752946
AP,Anantapur,S0125,2,12,andhra pradesh,anantapur,0.9282627237193887,0.5022450658719976,0.923739459300581
AP,Anantapur,S0125,11,8,karnataka,chitradurga,0.05190544618858073,0.04852853421813431,0.051652519886696696
AP,Anantapur,S0125,11,19,karnataka,tumkur,0.019831830092030614,0.01955523052215493,0.01973519299875632
AP,Bapatla,S0116,2,8,andhra pradesh,prakasam,0.5884063359537428,0.12925197150156692,0.5813687195915938
AP,Bapatla,S0116,2,7,andhra pradesh,guntur,0.37293796927249473,0.12885776737501123,0.3684774558581302
AP,Bapatla,S0116,2,6,andhra pradesh,krishna,0.038655694773762406,0.01745912395345045,0.03819335449391291
AP,Bhadrachalam,S0105,2,22,andhra pradesh,khammam,0.3651380817276023,0.4365480874661171,0.3651363044243413
AP,Bhadrachalam,S0105,2,3,andhra pradesh,visakhapatnam,0.27113531669449226,0.49335314515777906,0.27113399694805485
AP,Bhadrachalam,S0105,2,4,andhra pradesh,east godavari,0.18830346006783294,0.3687220297839897,0.18830254350401673
AP,Bhadrachalam,S0105,2,5,andhra pradesh,west godavari,0.10809555933298136,0.268410028026658,0.1080950331797267
AP,Bhadrachalam,S0105,19,11,odisha,koraput,0.03569304173650428,0.026175242863153904,0.035692868001244535
AP,Bhadrachalam,S0105,13,45,madhya pradesh,bastar,0.02198940450833329,0.01077484736511683,0.02198929747528937
AP,Bhadrachalam,S0105,2,21,andhra pradesh,warangal,0.009645135932253591,0.014607700408354043,0.009645088984722223
AP,Bobbili,S0103,2,2,andhra pradesh,vizianagaram,0.6817121322360261,0.35149803357942844,0.6681708434285103
AP,Bobbili,S0103,2,1,andhra pradesh,srikakulam,0.31287790635788937,0.20636984678792042,0.30666301022924575
AP,Bobbili,S0103,2,3,andhra pradesh,visakhapatnam,0.005409961406084534,0.0016623322723873291,0.005302499845151155
AP,Chittoor,S0121,2,10,andhra pradesh,chittoor,0.9277102609708113,0.437020370139222,0.9240037497295188
AP,Chittoor,S0121,11,14,karnataka,kolar,0.025448805822717493,0.02203849917368537,0.02534712937390829
AP,Chittoor,S0121,23,4,tamil nadu,dharmapuri,0.020598408726248074,0.015773747284316835,0.020516111228086657
AP,Chittoor,S0121,23,3,tamil nadu,vellore,0.01957701928182634,0.02391699891248573,0.01949880257442121
AP,Chittoor,S0121,23,13,tamil nadu,nagapattinam,0.0066655051983967525,0.0032481776581872062,0.006638874286800606
AP,Cuddapah,S0123,2,11,andhra pradesh,ysr kadapa,0.9782336487097499,0.594429374510046,0.973187117807269
AP,Cuddapah,S0123,2,12,andhra pradesh,anantapur,0.021766351290250018,0.010900733714981563,0.021654062610990843
AP,Eluru,S0111,2,5,andhra pradesh,west godavari,0.8485160413560533,0.48568514897567044,0.8446703877864604
AP,Eluru,S0111,2,6,andhra pradesh,krishna,0.14333624110726204,0.07523291390252963,0.14268661104677993
AP,Eluru,S0111,2,22,andhra pradesh,khammam,0.00814771753668467,0.0022455090379939428,0.008110790363240888
AP,Guntur,S0115,2,7,andhra pradesh,guntur,0.9294504494381807,0.31017982827717816,0.9294504494381822
AP,Guntur,S0115,2,6,andhra pradesh,krishna,0.05716373122020732,0.024936921731197364,0.05716373122020742
AP,Guntur,S0115,2,23,andhra pradesh,nalgonda,0.013385819341612029,0.0034691744529606995,0.013385819341612053
AP,Hanamkonda,S0138,2,21,andhra pradesh,warangal,0.7836908843706926,0.3343135305758133,0.7800355788976918
AP,Hanamkonda,S0138,2,20,andhra pradesh,karimnagar,0.1965460688539779,0.09238620293525227,0.1956293350556058
AP,Hanamkonda,S0138,2,17,andhra pradesh,medak,0.01976304677532955,0.010801845108667999,0.019670867608158248
AP,Hindupur,S0124,2,12,andhra pradesh,anantapur,0.874491344311355,0.4214363607442891,0.8723337945016645
AP,Hindupur,S0124,11,19,karnataka,tumkur,0.06931564076827212,0.06087838305854503,0.06914462484167547
AP,Hindupur,S0124,11,14,karnataka,kolar,0.03658580076120125,0.03955438139255319,0.03649553607421128
AP,Hindupur,S0124,2,10,andhra pradesh,chittoor,0.01313254932374679,0.007723351225721086,0.013100148626497448
AP,Hindupur,S0124,2,11,andhra pradesh,ysr kadapa,0.006474664835424713,0.0037860064376661817,0.006458690507063028
AP,Hyderabad,S0130,2,15,andhra pradesh,rangareddy,0.8695945020430039,0.5859664343170263,0.8666138811730086
AP,Hyderabad,S0130,2,17,andhra pradesh,medak,0.06576280075078349,0.03159608224468947,0.0655373922690985
AP,Hyderabad,S0130,11,11,karnataka,gulbarga,0.039834101552300084,0.012018518820919118,0.03969756624285947
AP,Hyderabad,S0130,2,16,andhra pradesh,hyderabad,0.024808595653912566,0.34089059733774824,0.02472356174697364
AP,Kakinada,S0107,2,4,andhra pradesh,east godavari,0.9224718864780428,0.24951616050625755,0.9224718864780432
AP,Kakinada,S0107,2,3,andhra pradesh,visakhapatnam,0.0775281135219573,0.019486587029450293,0.07752811352195735
AP,Karimnagar,S0137,2,20,andhra pradesh,karimnagar,0.9379045406614058,0.43739993877547506,0.9335767300915443
AP,Karimnagar,S0137,2,18,andhra pradesh,nizamabad,0.035404829605919584,0.024548029890600228,0.03524145967950405
AP,Karimnagar,S0137,2,19,andhra pradesh,adilabad,0.026690629732674602,0.00919369496744264,0.02656747008852588
AP,Khammam,S0140,2,22,andhra pradesh,khammam,0.9412827335509938,0.5191946412104416,0.9366138112552281
AP,Khammam,S0140,2,21,andhra pradesh,warangal,0.05173020821105117,0.03614538673306196,0.051473617588624655
AP,Khammam,S0140,2,6,andhra pradesh,krishna,0.006987058237955109,0.007339686347744789,0.006952401241894069
AP,Kurnool,S0126,2,13,andhra pradesh,kurnool,0.9069259584392648,0.44537058400680424,0.9051165428689056
AP,Kurnool,S0126,2,12,andhra pradesh,anantapur,0.053233137060399664,0.02386324026651351,0.05312693118310632
AP,Kurnool,S0126,11,4,karnataka,bellary,0.03984090450033554,0.033128701288944816,0.039761417578311434
AP,Machilipatnam,S0112,2,6,andhra pradesh,krishna,0.9493409054607995,0.31351258451211295,0.9481585678483516
AP,Machilipatnam,S0112,2,5,andhra pradesh,west godavari,0.050659094539200554,0.018244547734646836,0.05059600218476632
AP,Mahabubnagar,S0129,2,14,andhra pradesh,mahbubnagar,0.926260216607662,0.44214922753058794,0.921826335294773
AP,Mahabubnagar,S0129,2,13,andhra pradesh,kurnool,0.030817093005134993,0.015368800403645319,0.03066957578444137
AP,Mahabubnagar,S0129,11,11,karnataka,gulbarga,0.022434402241346046,0.012204263230387627,0.022327011817920496
AP,Mahabubnagar,S0129,11,17,karnataka,raichur,0.020488288145856966,0.012818117471982915,0.020390213505152105
