st_name,pc_name,DISTRICT
Andhra Pradesh,Hyderabad,Gulbarga
Andhra Pradesh,Hyderabad,Hyderabad
Andhra Pradesh,Hyderabad,Mahbubnagar
Andhra Pradesh,Hyderabad,Medak
Andhra Pradesh,Hyderabad,Nalgonda
Andhra Pradesh,Hyderabad,Rangareddi
Andhra Pradesh,Secunderabad,Hyderabad
Andhra Pradesh,Secunderabad,Rangareddi
Chandigarh,Chandigarh,Chandigarh
Chandigarh,Chandigarh,Panchkula
Chandigarh,Chandigarh,Patiala
Chandigarh,Chandigarh,Rupnagar
Delhi  & NCR,Chandni Chowk,Central
Delhi  & NCR,Chandni Chowk,North
Delhi  & NCR,Delhi Sadar,North
Delhi  & NCR,Delhi Sadar,North West
Delhi  & NCR,Delhi Sadar,South West
Delhi  & NCR,Delhi Sadar,West
Delhi  & NCR,East Delhi,Central
Delhi  & NCR,East Delhi,East
Delhi  & NCR,East Delhi,Ghaziabad
Delhi  & NCR,East Delhi,New Delhi
Delhi  & NCR,East Delhi,North
Delhi  & NCR,East Delhi,North East
Delhi  & NCR,East Delhi,North West
Delhi  & NCR,East Delhi,Sonipat
Delhi  & NCR,East Delhi,South
Delhi  & NCR,Karol Bagh,Central
Delhi  & NCR,Karol Bagh,New Delhi
Delhi  & NCR,Karol Bagh,North
Delhi  & NCR,Karol Bagh,South West
Delhi  & NCR,Karol Bagh,West
Delhi  & NCR,New Delhi,Central
Delhi  & NCR,New Delhi,East
Delhi  & NCR,New Delhi,New Delhi
Delhi  & NCR,New Delhi,North
Delhi  & NCR,New Delhi,South
Delhi  & NCR,New Delhi,South West
Delhi  & NCR,Outer Delhi,Faridabad
Delhi  & NCR,Outer Delhi,Gautam Buddha Nagar
Delhi  & NCR,Outer Delhi,Gurgaon
Delhi  & NCR,Outer Delhi,Jhajjar
Delhi  & NCR,Outer Delhi,North West
Delhi  & NCR,Outer Delhi,Sonipat
Delhi  & NCR,Outer Delhi,South
Delhi  & NCR,Outer Delhi,South West
Delhi  & NCR,Outer Delhi,West
Delhi  & NCR,South Delhi,East
Delhi  & NCR,South Delhi,New Delhi
Delhi  & NCR,South Delhi,South
Delhi  & NCR,South Delhi,South West
Delhi  & NCR,South Delhi,West
Goa,Mormugao,Belgaum
Goa,Mormugao,North Goa
Goa,Mormugao,Sindhudurg
Goa,Mormugao,South Goa
Goa,Mormugao,Uttara Kannada
Goa,Panaji,North Goa
Goa,Panaji,South Goa
Goa,Panaji,Uttara Kannada
Gujarat,Ahmedabad,Ahmadabad
Gujarat,Gandhinagar,Ahmadabad
Gujarat,Gandhinagar,Gandhinagar
Gujarat,Gandhinagar,Mahesana
Gujarat,Gandhinagar,Sabar Kantha
Haryana,Karnal,Baghpat
Haryana,Karnal,Jind
Haryana,Karnal,Kaithal
Haryana,Karnal,Karnal
Haryana,Karnal,Kurukshetra
Haryana,Karnal,Muzaffarnagar
Haryana,Karnal,Panipat
Haryana,Karnal,Saharanpur
Haryana,Karnal,Sonipat
Haryana,Rohtak,Bhiwani
Haryana,Rohtak,Gurgaon
Haryana,Rohtak,Hisar
Haryana,Rohtak,Jhajjar
Haryana,Rohtak,Mahendragarh
Haryana,Rohtak,Rewari
Haryana,Rohtak,Rohtak
Haryana,Rohtak,Sonipat
Haryana,Rohtak,South West
Karnataka,Bangalore North,Bangalore
Karnataka,Bangalore North,Bangalore Rural
Karnataka,Bangalore North,Kolar
Karnataka,Bangalore South,Bangalore
Karnataka,Bangalore South,Bangalore Rural
Karnataka,Bangalore South,Dharmapuri
Karnataka,Bangalore South,Kolar
Karnataka,Mysore,Chamarajanagar
Karnataka,Mysore,Hassan
