State/UT,Constituency,Electors_Male,Electors_Female,Electors_Total,Voted_Male,Voted_Female,Voted_Total
ANDHRA PRADESH CODE : S01,Srikakulam NO : 1,474897,510335,985232,332811,343602,676413
ANDHRA PRADESH CODE : S01,Parvathipuram NO : 2,438763,472846,911609,323346,313705,637051
ANDHRA PRADESH CODE : S01,Bobbili NO : 3,463412,486361,949773,359223,357480,716703
ANDHRA PRADESH CODE : S01,Visakhapatnam NO : 4,719936,700670,1420606,477423,437513,914936
ANDHRA PRADESH CODE : S01,Bhadrachalam NO : 5,541146,544390,1085536,403100,356783,759883
ANDHRA PRADESH CODE : S01,Anakapalli NO : 6,507091,528617,1035708,385143,378936,764079
ANDHRA PRADESH CODE : S01,Kakinada NO : 7,580745,591242,1171987,432054,404031,836085
ANDHRA PRADESH CODE : S01,Rajahmundry NO : 8,563012,574213,1137225,422656,401142,823798
ANDHRA PRADESH CODE : S01,Amalapuram NO : 9,449856,458401,908257,355925,329305,685230
ANDHRA PRADESH CODE : S01,Narasapur NO : 10,505785,514624,1020409,375393,358233,733626
ANDHRA PRADESH CODE : S01,Eluru NO : 11,571703,575502,1147205,440179,412250,852429
ANDHRA PRADESH CODE : S01,Machilipatnam NO : 12,499816,506613,1006429,377557,352721,730278
ANDHRA PRADESH CODE : S01,Vijayawada NO : 13,697436,686957,1384393,495137,452188,947325
ANDHRA PRADESH CODE : S01,Tenali NO : 14,477548,482899,960447,345836,313470,659306
ANDHRA PRADESH CODE : S01,Guntur NO : 15,614523,625103,1239626,409140,385569,794709
ANDHRA PRADESH CODE : S01,Bapatla NO : 16,532872,544943,1077815,377163,349942,727105
ANDHRA PRADESH CODE : S01,Narasaraopet NO : 17,630562,631998,1262560,450109,428077,878186
ANDHRA PRADESH CODE : S01,Ongole NO : 18,592214,598065,1190279,408504,384299,792803
ANDHRA PRADESH CODE : S01,Nellore NO : 19,577877,587267,1165144,410421,376144,786565
ANDHRA PRADESH CODE : S01,Tirupathi NO : 20,592575,607135,1199710,429249,395445,824694
ANDHRA PRADESH CODE : S01,Chittoor NO : 21,566939,573280,1140219,441856,411922,853778
ANDHRA PRADESH CODE : S01,Rajampet NO : 22,471180,475131,946311,355132,323685,678817
ANDHRA PRADESH CODE : S01,Cuddapah NO : 23,541923,548747,1090670,381295,357814,739109
ANDHRA PRADESH CODE : S01,Hindupur NO : 24,584930,566676,1151606,428613,364255,792868
ANDHRA PRADESH CODE : S01,Anantapur NO : 25,617753,608561,1226314,415253,357218,772471
ANDHRA PRADESH CODE : S01,Kurnool NO : 26,579408,583967,1163375,412534,361095,773629
ANDHRA PRADESH CODE : S01,Nandyal NO : 27,557901,558652,1116553,389557,359622,749179
ANDHRA PRADESH CODE : S01,Nagarkurnool NO : 28,606210,606359,1212569,433356,409669,843025
ANDHRA PRADESH CODE : S01,Mahabubnagar NO : 29,617499,631956,1249455,424290,406435,830725
ANDHRA PRADESH CODE : S01,Hyderabad NO : 30,795680,771545,1567225,582466,501212,1083678
ANDHRA PRADESH CODE : S01,Secunderabad NO : 31,920629,849395,1770024,533961,436830,970791
ANDHRA PRADESH CODE : S01,Siddipet NO : 32,825917,796177,1622094,566134,509288,1075422
ANDHRA PRADESH CODE : S01,Medak NO : 33,605777,614183,1219960,446856,421691,868547
ANDHRA PRADESH CODE : S01,Nizamabad NO : 34,540693,589254,1129947,379356,398976,778332
ANDHRA PRADESH CODE : S01,Adilabad NO : 35,535903,558965,1094868,388750,381404,770154
ANDHRA PRADESH CODE : S01,Peddapalli NO : 36,673282,657477,1330759,470608,426115,896723
ANDHRA PRADESH CODE : S01,Karimnagar NO : 37,622019,637026,1259045,419295,421261,840556
ANDHRA PRADESH CODE : S01,Hanamkonda NO : 38,564237,554714,1118951,394049,362729,756778
ANDHRA PRADESH CODE : S01,Warangal NO : 39,566889,565829,1132718,439093,416609,855702
ANDHRA PRADESH CODE : S01,Khammam NO : 40,614556,613809,1228365,489903,458185,948088
ANDHRA PRADESH CODE : S01,Nalgonda NO : 41,726107,691075,1417182,524793,455878,980671
ANDHRA PRADESH CODE : S01,Miryalguda NO : 42,604134,602095,1206229,482547,449279,931826
ARUNACHAL PRADE CODE : S02,Arunachal West NO : 1,176811,169315,346126,124966,120002,244968
ARUNACHAL PRADE CODE : S02,Arunachal East NO : 2,143786,121660,265446,96944,99319,196263
ASSAM CODE : S03,Karimganj NO : 1,488389,454774,943163,375113,320425,695538
ASSAM CODE : S03,Silchar NO : 2,417433,410327,827760,336937,271591,608528
ASSAM CODE : S03,Autonomous District NO : 3,278098,257720,535818,205858,190658,396516
ASSAM CODE : S03,Dhubri NO : 4,535348,515199,1050547,425549,399982,825531
ASSAM CODE : S03,Kokrajhar NO : 5,602642,565838,1168480,496776,414177,910953
ASSAM CODE : S03,Barpeta NO : 6,536474,487151,1023625,408184,359730,767914
ASSAM CODE : S03,Gauhati NO : 7,705593,649276,1354869,453209,404819,858028
ASSAM CODE : S03,Mangaldoi NO : 8,613132,566999,1180131,471277,387252,858529
ASSAM CODE : S03,Tezpur NO : 9,505928,465478,971406,371373,334076,705449
ASSAM CODE : S03,Nowgong NO : 10,606078,507261,1113339,414025,367080,781105
ASSAM CODE : S03,Kaliabor NO : 11,588109,523427,1111536,413161,366364,779525
ASSAM CODE : S03,Jorhat NO : 12,526864,476606,1003470,344830,304659,649489
ASSAM CODE : S03,Dibrugarh NO : 13,499445,446340,945785,324733,254077,578810
ASSAM CODE : S03,Lakhimpur NO : 14,551140,509604,1060744,388063,378941,767004
BIHAR CODE : S04,Bagaha NO : 1,556901,471687,1028588,379906,199274,579180
BIHAR CODE : S04,Bettiah NO : 2,596975,501662,1098637,431630,264551,696181
BIHAR CODE : S04,Motihari NO : 3,603868,508771,1112639,383569,302110,685679
BIHAR CODE : S04,Gopalganj NO : 4,638304,538611,1176915,467782,282980,750762
BIHAR CODE : S04,Siwan NO : 5,506360,482644,989004,389721,320263,709984
BIHAR CODE : S04,Maharajganj NO : 6,487440,494126,981566,413909,296487,710396
BIHAR CODE : S04,Chapra NO : 7,529943,473483,1003426,469655,309059,778714
BIHAR CODE : S04,Hajipur NO : 8,569512,494811,1064323,474285,316163,790448
BIHAR CODE : S04,Vaishali NO : 9,556690,492316,1049006,427173,294428,721601
BIHAR CODE : S04,Muzaffarpur NO : 10,572175,495661,1067836,436654,293836,730490
BIHAR CODE : S04,Sitamarhi NO : 11,595338,531651,1126989,438661,317355,756016
BIHAR CODE : S04,Sheohar NO : 12,576044,507079,1083123,450511,276048,726559
BIHAR CODE : S04,Madhubani NO : 13,586638,514451,1101089,407905,309407,717312
BIHAR CODE : S04,Jhanjharpur NO : 14,547183,506760,1053943,374042,310105,684147
BIHAR CODE : S04,Darbhanga NO : 15,557779,485609,1043388,475026,291142,766168
BIHAR CODE : S04,Rosera NO : 16,568092,509175,1077267,417178,316973,734151
BIHAR CODE : S04,Samastipur NO : 17,649300,569810,1219110,452194,348827,801021
BIHAR CODE : S04,Barh NO : 18,577405,503948,1081353,455798,303865,759663
BIHAR CODE : S04,Balia NO : 19,527228,469351,996579,293636,212614,506250
BIHAR CODE : S04,Saharsa NO : 20,600444,541659,1142103,416392,315661,732053
BIHAR CODE : S04,Madhepura NO : 21,520042,477168,997210,386547,274359,660906
BIHAR CODE : S04,Araria NO : 22,561966,481104,1043070,394686,254289,648975
BIHAR CODE : S04,Kishanganj NO : 23,591395,538035,1129430,425483,302356,727839
