st_name,pc_name,Electors_Male,Electors_Female,Voted_Male,Voted_Female,Year,pc_name_clean,Female_Turnout_Pct
ANDHRA PRADESH,SRIKAKULAM,454220,501288,350869,372144,2004,SRIKAKULAM,74.23756403504572
ANDHRA PRADESH,PARVATHIPURAM (ST),431539,463435,331841,328371,2004,PARVATHIPURAM,70.85589133319668
ANDHRA PRADESH,BOBBILI,474321,500873,372376,373141,2004,BOBBILI,74.49812627152991
ANDHRA PRADESH,VISAKHAPATNAM,750575,762873,499805,465930,2004,VISAKHAPATNAM,61.075696741135154
ANDHRA PRADESH,BHADRACHALAM (ST),584405,608746,428618,394242,2004,BHADRACHALAM,64.76297174847966
ANDHRA PRADESH,ANAKAPALLI,494753,527328,390353,391393,2004,ANAKAPALLI,74.22192639116452
ANDHRA PRADESH,KAKINADA,577399,587389,430057,401995,2004,KAKINADA,68.43761119122081
ANDHRA PRADESH,RAJAHMUNDRY,530536,543380,410408,405085,2004,RAJAHMUNDRY,74.5491184806213
ANDHRA PRADESH,AMALAPURAM (SC),446857,457168,361734,340981,2004,AMALAPURAM,74.58549154796486
ANDHRA PRADESH,NARASAPUR,491374,504467,386624,379148,2004,NARASAPUR,75.15813720223522
ANDHRA PRADESH,ELURU,568494,582676,455430,439424,2004,ELURU,75.41481028908004
ANDHRA PRADESH,MACHILIPATNAM,488438,504620,379864,372549,2004,MACHILIPATNAM,73.82763267409139
ANDHRA PRADESH,VIJAYAWADA,732336,732019,488452,455314,2004,VIJAYAWADA,62.19975164579061
ANDHRA PRADESH,TENALI,432793,446159,340198,331118,2004,TENALI,74.2152461342257
ANDHRA PRADESH,GUNTUR,578286,593863,421887,398237,2004,GUNTUR,67.05873240124406
ANDHRA PRADESH,BAPATLA,465674,480928,369783,363894,2004,BAPATLA,75.66496440215583
ANDHRA PRADESH,NARASARAOPET,621504,632063,458277,439612,2004,NARASARAOPET,69.55192757683965
ANDHRA PRADESH,ONGOLE,522661,540843,393771,401773,2004,ONGOLE,74.28643802360389
