ST_NM,DISTRICT,pc_name
Gujarat,Anand,Kapadvanj
Gujarat,Anand,Kaira
Gujarat,Anand,Baroda
Gujarat,Anand,Anand
Gujarat,Anand,Dhandhuka
Andhra Pradesh,Anantapur,Kurnool
Andhra Pradesh,Anantapur,Nandyal
Andhra Pradesh,Anantapur,Cuddapah
Andhra Pradesh,Anantapur,Rajampet
Andhra Pradesh,Anantapur,Hindupur
Andhra Pradesh,Anantapur,Anantapur
Andhra Pradesh,Anantapur,Kolar
Andhra Pradesh,Anantapur,Bellary
Andhra Pradesh,Anantapur,Chikballapur
Andhra Pradesh,Anantapur,Chitradurga
Andhra Pradesh,Anantapur,Tumkur
Jammu and Kashmir,Anantnag,Udhampur
Jammu and Kashmir,Anantnag,Anantnag
Jammu and Kashmir,Anantnag,Srinagar
Jammu and Kashmir,Anantnag,Jammu
Jammu and Kashmir,Anantnag,Ladakh
Orissa,Anugul,Keonjhar
Orissa,Anugul,Cuttack
Orissa,Anugul,Phulbani
Orissa,Anugul,Bhubaneswar
Orissa,Anugul,Dhenkanal
Orissa,Anugul,Deogarh
Orissa,Anugul,Sambalpur
Bihar,Araria,Kishanganj
Bihar,Araria,Purnea
Bihar,Araria,Saharsa
Bihar,Araria,Madhepura
Bihar,Araria,Araria
Tamil Nadu,Ariyalur,Chidambaram
Tamil Nadu,Ariyalur,Perambalur
Tamil Nadu,Ariyalur,Tiruchirappalli
Tamil Nadu,Ariyalur,Mayiladuturai
Tamil Nadu,Ariyalur,Thanjavur
Uttar Pradesh,Auraiya,Etawah
Uttar Pradesh,Auraiya,Kannauj
Uttar Pradesh,Auraiya,Ghatampur
Uttar Pradesh,Auraiya,Jalaun
Bihar,Aurangabad,Aurangabad
Bihar,Aurangabad,Bikramganj
Bihar,Aurangabad,Jahanabad
Bihar,Aurangabad,Gaya
Bihar,Aurangabad,Palamu
Maharashtra,Aurangabad,Kopargaon
Maharashtra,Aurangabad,Ahmednagar
Maharashtra,Aurangabad,Nashik
Maharashtra,Aurangabad,Malegaon
Maharashtra,Aurangabad,Aurangabad
Maharashtra,Aurangabad,Jalna
Maharashtra,Aurangabad,Erandol
Maharashtra,Aurangabad,Jalgaon
Uttar Pradesh,Azamgarh,Azamgarh
Uttar Pradesh,Azamgarh,Jaunpur
Uttar Pradesh,Azamgarh,Lalganj
Uttar Pradesh,Azamgarh,Sultanpur
Uttar Pradesh,Azamgarh,Akbarpur
Uttar Pradesh,Azamgarh,Saidpur
Uttar Pradesh,Azamgarh,Bansgaon
Uttar Pradesh,Azamgarh,Ghosi
Uttar Pradesh,Budaun,Etah
Uttar Pradesh,Budaun,Shahjahanpur
Uttar Pradesh,Budaun,Budaun
Uttar Pradesh,Budaun,Farrukhabad
Uttar Pradesh,Budaun,Aonla
Uttar Pradesh,Budaun,Sambhal
Uttar Pradesh,Budaun,Rampur
Uttar Pradesh,Budaun,Moradabad
Uttar Pradesh,Budaun,Hathras
Jammu and Kashmir,Badgam,Srinagar
Jammu and Kashmir,Badgam,Jammu
Jammu and Kashmir,Badgam,Baramulla
Karnataka,Bagalkot,Chikkodi
Karnataka,Bagalkot,Belgaum
Karnataka,Bagalkot,Dharwad North
Karnataka,Bagalkot,Koppal
Karnataka,Bagalkot,Bagalkot
Karnataka,Bagalkot,Bijapur
Uttarakhand,Bageshwar,Almora
Uttarakhand,Bageshwar,Garhwal
Andhra Pradesh,Adilabad,Nizamabad
Andhra Pradesh,Adilabad,Karimnagar
Andhra Pradesh,Adilabad,Adilabad
Andhra Pradesh,Adilabad,Peddapalli
Andhra Pradesh,Adilabad,Yavatmal
Andhra Pradesh,Adilabad,Chandrapur
Andhra Pradesh,Adilabad,Hingoli
Uttar Pradesh,Agra,Bhind
Uttar Pradesh,Agra,Morena
Uttar Pradesh,Agra,Bharatpur
Uttar Pradesh,Agra,Bayana
Uttar Pradesh,Agra,Etawah
Uttar Pradesh,Agra,Firozabad
Uttar Pradesh,Agra,Agra
Uttar Pradesh,Agra,Jalesar
Uttar Pradesh,Agra,Mathura
Gujarat,Ahmadabad,Gandhinagar
Gujarat,Ahmadabad,Patan
Gujarat,Ahmadabad,Surendranagar
Gujarat,Ahmadabad,Mehsana
Gujarat,Ahmadabad,Ahmedabad
Gujarat,Ahmadabad,Kapadvanj
Gujarat,Ahmadabad,Kaira
Gujarat,Ahmadabad,Anand
Gujarat,Ahmadabad,Bhavnagar
Gujarat,Ahmadabad,Dhandhuka
Maharashtra,Ahmadnagar,Khed
Maharashtra,Ahmadnagar,Baramati
Maharashtra,Ahmadnagar,Kopargaon
Maharashtra,Ahmadnagar,Ahmednagar
Maharashtra,Ahmadnagar,Nashik
Maharashtra,Ahmadnagar,Dahanu
Maharashtra,Ahmadnagar,Beed
Maharashtra,Ahmadnagar,Aurangabad
Maharashtra,Ahmadnagar,Jalna
Maharashtra,Ahmadnagar,Osmanabad
Maharashtra,Ahmadnagar,Thane
Mizoram,Aizawl,Silchar
Mizoram,Aizawl,Outer Manipur
Mizoram,Aizawl,Mizoram
Rajasthan,Ajmer,Bhilwara
Rajasthan,Ajmer,Ajmer
Rajasthan,Ajmer,Pali
Rajasthan,Ajmer,Nagaur
Rajasthan,Ajmer,Tonk
Rajasthan,Ajmer,Udaipur
Maharashtra,Akola,Amravati
Maharashtra,Akola,Buldhana
Maharashtra,Akola,Akola
Maharashtra,Akola,Washim
Kerala,Alappuzha,Ernakulam
Kerala,Alappuzha,Mavelikara
Kerala,Alappuzha,Kottayam
Kerala,Alappuzha,Quilon
Kerala,Alappuzha,Alleppey
Uttar Pradesh,Aligarh,Faridabad
Uttar Pradesh,Aligarh,Budaun
Uttar Pradesh,Aligarh,Khurja
Uttar Pradesh,Aligarh,Sambhal
Uttar Pradesh,Aligarh,Aligarh
Uttar Pradesh,Aligarh,Mathura
Uttar Pradesh,Aligarh,Hathras
Uttar Pradesh,Allahabad,Rewa
Uttar Pradesh,Allahabad,Chail
Uttar Pradesh,Allahabad,Machhlishahr
Uttar Pradesh,Allahabad,Pratapgarh
Uttar Pradesh,Allahabad,Banda
Uttar Pradesh,Allahabad,Allahabad
Uttar Pradesh,Allahabad,Mirzapur
Uttar Pradesh,Allahabad,Phulpur
Uttarakhand,Almora,Almora
Uttarakhand,Almora,Garhwal
Uttarakhand,Almora,Nainital
Haryana,Ambala,Ambala
Haryana,Ambala,Kurukshetra
Haryana,Ambala,Simla
Haryana,Ambala,Patiala
Uttar Pradesh,Ambedkar Nagar,Azamgarh
Uttar Pradesh,Ambedkar Nagar,Sultanpur
Uttar Pradesh,Ambedkar Nagar,Faizabad
Uttar Pradesh,Ambedkar Nagar,Akbarpur
Uttar Pradesh,Ambedkar Nagar,Basti
Uttar Pradesh,Ambedkar Nagar,Bansgaon
Uttar Pradesh,Ambedkar Nagar,Khalilabad
Maharashtra,Amravati,Chhindwara
Maharashtra,Amravati,Betul
Maharashtra,Amravati,Khandwa
Maharashtra,Amravati,Yavatmal
Maharashtra,Amravati,Ramtek
Maharashtra,Amravati,Amravati
Maharashtra,Amravati,Wardha
Maharashtra,Amravati,Buldhana
Maharashtra,Amravati,Akola
Maharashtra,Amravati,Washim
Gujarat,Amreli,Junagadh
Gujarat,Amreli,Amreli
Gujarat,Amreli,Rajkot
Gujarat,Amreli,Bhavnagar
Gujarat,Amreli,Dhandhuka
Punjab,Amritsar,Ferozepur
