shrid2,pc91_td_area,pc91_td_res_house,pc91_td_p_7andup,pc91_td_p_lit_7andup,pc91_td_tot_work_p,pc91_td_mainwork_p,pc91_td_margwork_p,pc91_td_non_work_p,pc91_td_workers_non_per1000,pc91_td_p_sc,pc91_td_p_st,pc91_td_avg_rain,pc91_td_max_temp,pc91_td_min_temp,pc91_td_sh_dist,pc91_td_dh_dist,pc91_td_sd_dist,pc91_td_rail_dist,pc91_td_tap,pc91_td_well,pc91_td_tank,pc91_td_tube_well,pc91_td_stor_cap_tank,pc91_td_stor_cap_res,pc91_td_stor_cap_rivergal,pc91_td_stor_cap_wellpump,pc91_td_stor_cap_pressuretank,pc91_td_el_dom,pc91_td_el_ind,pc91_td_el_com,pc91_td_el_road_l,pc91_td_el_others,pc91_td_p_road,pc91_td_k_road,pc91_td_tot_road,pc91_td_dist_f_ser,pc91_td_sewage_sewer,pc91_td_sewage_opendrain,pc91_td_sewage_boxdrain,pc91_td_sewage_sylkdrain,pc91_td_sewage_cess,pc91_td_sewage_pit,pc91_td_sewage_other,pc91_td_water_bor,pc91_td_service,pc91_td_lat_oth,pc91_td_nsoil_head,pc91_td_nsoil_basket,pc91_td_nsoil_wb,pc91_td_nsoil_septic,pc91_td_nsoil_sewerage,pc91_td_nsoil_pit,pc91_td_nsoil_other,pc91_td_hospitals,pc91_td_disp,pc91_td_health_ctr,pc91_td_f_w_ctr,pc91_td_nur_homes,pc91_td_med_oth,pc91_td_tot_beds,pc91_td_primary,pc91_td_middle,pc91_td_secondary,pc91_td_s_sec,pc91_td_vt_inst,pc91_td_polytech,pc91_td_arts,pc91_td_science,pc91_td_commerce,pc91_td_medical,pc91_td_engg,pc91_td_law,pc91_td_adult_cnt,pc91_td_n_hostels,pc91_td_n_seats,pc91_td_stadium,pc91_td_cinema,pc91_td_auditorium,pc91_td_p_lib,pc91_td_r_rooms,pc91_td_banks,pc91_td_a_c_soc,pc91_td_n_a_c_soc,pc91_td_inc_8889,pc91_td_exp_8889,pc91_td_joint_muni,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
01-05-05-00-40508000,4.69,1043.0,4048.0,3413.0,1601.0,1584.0,17.0,3115.0,1967.0,816.0,94.0,2136.7,27.7,14.6,552.0,7.0,7.0,7.0,0.0,0.0,0.0,3.0,500000.0,0.0,0.0,0.0,0.0,684.0,0.0,0.0,300.0,25.0,30.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,,,,0.0,0.0,1.0,1.0
01-08-10-00-41004000,4.96,907.0,4274.0,2510.0,1226.0,1220.0,6.0,3857.0,3161.0,2156.0,81.0,,,,148.0,22.0,22.0,6.0,0.0,0.0,3.0,3.0,113500.0,0.0,0.0,0.0,0.0,141.0,7.0,66.0,32.0,5.0,2.0,1.5,3.5,22.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,560.0,78.0,69.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,133100.0,148200.0,,0.0,0.0,1.0,1.0
01-09-46-00-44608000,2.62,1202.0,7590.0,1638.0,4387.0,4202.0,185.0,5106.0,1215.0,545.0,0.0,972.2,31.7,18.4,53.0,24.0,30.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,5.0,10.0,0.0,0.0,,,2.5,24.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,1.0
01-10-02-00-40204000,1.59,1042.0,5087.0,3193.0,1309.0,1309.0,0.0,4514.0,3448.0,373.0,7.0,883.5,41.4,5.0,190.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,5000.0,0.0,0.0,0.0,0.0,500.0,2.0,2.0,250.0,0.0,12.0,3.0,15.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,441.0,200.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,58.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,468400.0,397300.0,,0.0,0.0,1.0,1.0
01-10-19-00-41902000,8.08,1562.0,8821.0,4307.0,2566.0,2542.0,24.0,8446.0,3323.0,1365.0,43.0,1160.0,41.0,6.0,176.0,55.0,40.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,0.0,7.0,8.0,15.0,55.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,180.0,1600.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,7.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,1097300.0,305200.0,,0.0,0.0,1.0,1.0
01-10-34-00-43402000,5.73,903.0,5360.0,3020.0,2198.0,1590.0,608.0,4531.0,2850.0,1553.0,2.0,1250.0,45.7,6.0,148.0,12.0,12.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,30000.0,0.0,145.0,6.0,27.0,1.0,6.0,2.0,3.0,5.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,81000.0,86000.0,,0.0,0.0,1.0,1.0
01-18-17-00-41701000,9.0,1208.0,5917.0,5051.0,1959.0,1947.0,12.0,4707.0,2418.0,308.0,240.0,2083.8,36.8,5.5,311.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,216.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,1.0,1.0
01-19-09-00-40903000,4.24,2787.0,10561.0,6474.0,3413.0,3398.0,15.0,9196.0,2706.0,3349.0,440.0,1041.1,46.5,26.5,192.0,96.0,8.0,7.0,3.0,3.0,0.0,0.0,18700.0,0.0,0.0,0.0,0.0,40.0,7.0,32.0,18.0,0.0,7.0,6.0,13.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,426.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0
01-19-15-00-41512000,1.59,1389.0,5959.0,3896.0,2549.0,2333.0,216.0,4737.0,2030.0,837.0,128.0,,,,76.0,46.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,570.0,70.0,15.0,30.0,0.0,,,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,,,,0.0,0.0,1.0,1.0
01-20-02-00-40201000,9.3,763.0,3854.0,2479.0,1132.0,1102.0,30.0,3587.0,3255.0,1065.0,7.0,1084.1,45.1,3.9,212.0,85.0,85.0,4.0,3.0,3.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,35.0,10.0,6.0,20.0,0.0,3.0,6.0,9.0,114.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,20.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,,,0.0,0.0,1.0,1.0
