State/UT,Constituency,Electors_Male,Electors_Female,Electors_Total,Voted_Male,Voted_Female,Voted_Total,pc_name_clean,EVM,Female_Turnout
ANDHRA PRADESH CODE : S01,Srikakulam NO : 1,474897,510335,985232,332811,343602,676413,SRIKAKULAM,0,67.32871545161512
ANDHRA PRADESH CODE : S01,Parvathipuram NO : 2,438763,472846,911609,323346,313705,637051,PARVATHIPURAM,0,66.34401052351082
ANDHRA PRADESH CODE : S01,Bobbili NO : 3,463412,486361,949773,359223,357480,716703,BOBBILI,0,73.50095916407771
ANDHRA PRADESH CODE : S01,Visakhapatnam NO : 4,719936,700670,1420606,477423,437513,914936,VISAKHAPATNAM,0,62.44209114133616
ANDHRA PRADESH CODE : S01,Bhadrachalam NO : 5,541146,544390,1085536,403100,356783,759883,BHADRACHALAM,0,65.53812524109553
ANDHRA PRADESH CODE : S01,Anakapalli NO : 6,507091,528617,1035708,385143,378936,764079,ANAKAPALLI,0,71.68441423563752
ANDHRA PRADESH CODE : S01,Kakinada NO : 7,580745,591242,1171987,432054,404031,836085,KAKINADA,0,68.33597748468479
ANDHRA PRADESH CODE : S01,Rajahmundry NO : 8,563012,574213,1137225,422656,401142,823798,RAJAHMUNDRY,0,69.85944240203548
ANDHRA PRADESH CODE : S01,Amalapuram NO : 9,449856,458401,908257,355925,329305,685230,AMALAPURAM,0,71.83775777103453
ANDHRA PRADESH CODE : S01,Narasapur NO : 10,505785,514624,1020409,375393,358233,733626,NARASAPUR,0,69.61062834224599
ANDHRA PRADESH CODE : S01,Eluru NO : 11,571703,575502,1147205,440179,412250,852429,ELURU,0,71.63311335147402
ANDHRA PRADESH CODE : S01,Machilipatnam NO : 12,499816,506613,1006429,377557,352721,730278,MACHILIPATNAM,0,69.62336142183482
ANDHRA PRADESH CODE : S01,Vijayawada NO : 13,697436,686957,1384393,495137,452188,947325,VIJAYAWADA,0,65.8247896156528
ANDHRA PRADESH CODE : S01,Tenali NO : 14,477548,482899,960447,345836,313470,659306,TENALI,0,64.91419530792153
ANDHRA PRADESH CODE : S01,Guntur NO : 15,614523,625103,1239626,409140,385569,794709,GUNTUR,0,61.680874991801346
ANDHRA PRADESH CODE : S01,Bapatla NO : 16,532872,544943,1077815,377163,349942,727105,BAPATLA,0,64.21625748014013
ANDHRA PRADESH CODE : S01,Narasaraopet NO : 17,630562,631998,1262560,450109,428077,878186,NARASARAOPET,0,67.73391687948379
ANDHRA PRADESH CODE : S01,Ongole NO : 18,592214,598065,1190279,408504,384299,792803,ONGOLE,0,64.25706235944254
ANDHRA PRADESH CODE : S01,Nellore NO : 19,577877,587267,1165144,410421,376144,786565,NELLORE,0,64.04991256106676
ANDHRA PRADESH CODE : S01,Tirupathi NO : 20,592575,607135,1199710,429249,395445,824694,TIRUPATHI,0,65.13296054419527
ANDHRA PRADESH CODE : S01,Chittoor NO : 21,566939,573280,1140219,441856,411922,853778,CHITTOOR,0,71.8535445157689
ANDHRA PRADESH CODE : S01,Rajampet NO : 22,471180,475131,946311,355132,323685,678817,RAJAMPET,0,68.1254222519684
ANDHRA PRADESH CODE : S01,Cuddapah NO : 23,541923,548747,1090670,381295,357814,739109,CUDDAPAH,0,65.20564121535061
ANDHRA PRADESH CODE : S01,Hindupur NO : 24,584930,566676,1151606,428613,364255,792868,HINDUPUR,0,64.2792354008287
ANDHRA PRADESH CODE : S01,Anantapur NO : 25,617753,608561,1226314,415253,357218,772471,ANANTAPUR,0,58.698799298673435
ANDHRA PRADESH CODE : S01,Kurnool NO : 26,579408,583967,1163375,412534,361095,773629,KURNOOL,0,61.83482970784308
ANDHRA PRADESH CODE : S01,Nandyal NO : 27,557901,558652,1116553,389557,359622,749179,NANDYAL,0,64.37316970135254
ANDHRA PRADESH CODE : S01,Nagarkurnool NO : 28,606210,606359,1212569,433356,409669,843025,NAGARKURNOOL,0,67.56212078982912
ANDHRA PRADESH CODE : S01,Mahabubnagar NO : 29,617499,631956,1249455,424290,406435,830725,MAHABUBNAGAR,0,64.3138129869801
ANDHRA PRADESH CODE : S01,Hyderabad NO : 30,795680,771545,1567225,582466,501212,1083678,HYDERABAD,1,64.96212145759482
ANDHRA PRADESH CODE : S01,Secunderabad NO : 31,920629,849395,1770024,533961,436830,970791,SECUNDERABAD,1,51.42836960424773
ANDHRA PRADESH CODE : S01,Siddipet NO : 32,825917,796177,1622094,566134,509288,1075422,SIDDIPET,0,63.96668077575715
ANDHRA PRADESH CODE : S01,Medak NO : 33,605777,614183,1219960,446856,421691,868547,MEDAK,0,68.65885249184689
ANDHRA PRADESH CODE : S01,Nizamabad NO : 34,540693,589254,1129947,379356,398976,778332,NIZAMABAD,0,67.70866213890784
ANDHRA PRADESH CODE : S01,Adilabad NO : 35,535903,558965,1094868,388750,381404,770154,ADILABAD,0,68.23396813753992
ANDHRA PRADESH CODE : S01,Peddapalli NO : 36,673282,657477,1330759,470608,426115,896723,PEDDAPALLI,0,64.81063215899567
ANDHRA PRADESH CODE : S01,Karimnagar NO : 37,622019,637026,1259045,419295,421261,840556,KARIMNAGAR,0,66.1293259615777
ANDHRA PRADESH CODE : S01,Hanamkonda NO : 38,564237,554714,1118951,394049,362729,756778,HANAMKONDA,0,65.39027318582188
ANDHRA PRADESH CODE : S01,Warangal NO : 39,566889,565829,1132718,439093,416609,855702,WARANGAL,0,73.62807491309212
ANDHRA PRADESH CODE : S01,Khammam NO : 40,614556,613809,1228365,489903,458185,948088,KHAMMAM,0,74.64618472521582
ANDHRA PRADESH CODE : S01,Nalgonda NO : 41,726107,691075,1417182,524793,455878,980671,NALGONDA,0,65.9665014651087
ANDHRA PRADESH CODE : S01,Miryalguda NO : 42,604134,602095,1206229,482547,449279,931826,MIRYALGUDA,0,74.61928765394165
ARUNACHAL PRADE CODE : S02,Arunachal West NO : 1,176811,169315,346126,124966,120002,244968,ARUNACHAL WEST,0,70.87499630865547
ARUNACHAL PRADE CODE : S02,Arunachal East NO : 2,143786,121660,265446,96944,99319,196263,ARUNACHAL EAST,0,81.6365280289331
ASSAM CODE : S03,Karimganj NO : 1,488389,454774,943163,375113,320425,695538,KARIMGANJ,0,70.45807368055341
ASSAM CODE : S03,Silchar NO : 2,417433,410327,827760,336937,271591,608528,SILCHAR,0,66.18891761936212
ASSAM CODE : S03,Autonomous District NO : 3,278098,257720,535818,205858,190658,396516,AUTONOMOUS DISTRICT,0,73.97873661337886
ASSAM CODE : S03,Dhubri NO : 4,535348,515199,1050547,425549,399982,825531,DHUBRI,0,77.63640845576175
ASSAM CODE : S03,Kokrajhar NO : 5,602642,565838,1168480,496776,414177,910953,KOKRAJHAR,0,73.19709881626896
ASSAM CODE : S03,Barpeta NO : 6,536474,487151,1023625,408184,359730,767914,BARPETA,0,73.84363369879155
ASSAM CODE : S03,Gauhati NO : 7,705593,649276,1354869,453209,404819,858028,GAUHATI,0,62.349293674800855
