,state_clean,EVM_Exposure_Cont,Fem_Enterprise_Pct,Turnout_99
26,arunachal pradesh,0.0,0.6155861165684349,81.27691831274242
27,arunachal pradesh,0.0,12.885326757090013,81.63652802893309
29,arunachal pradesh,0.0,0.2948885976408912,64.32857015659972
84,bihar,0.0,1.5180695593066726,26.825028968713788
85,bihar,0.0,2.0717876014950383,35.090003421886315
100,gujarat,0.019108535213834894,3.2008714400410843,52.50954199839269
125,himachal pradesh,0.0,1.8124369157853162,45.353491632287444
214,maharashtra,0.6936355758812229,1.9178377021101058,43.13256440302074
215,maharashtra,0.0,1.616629639524898,36.112401201951165
286,punjab,0.7658821309466741,1.2916348843122298,67.52145587812093
308,rajasthan,0.0,1.7048651288202887,56.98882506609523
387,uttar pradesh,0.0,1.619537689739164,51.77483372194699
403,west bengal,0.0,2.1449804186814427,44.67264555938098
420,daman diu,0.0,2.5789813023855577,66.624026582114
421,daman diu,0.0,4.984709480122325,39.64625211597953
422,nct of delhi,0.9721464647403262,0.5551529437880226,41.534837937059876
423,puducherry,0.8613316817631169,4.137033243675278,62.429863601718715
424,puducherry,0.0,0.9140767824497258,78.88015232302556
