Category,Metric,Value
VIF,EVM_Exposure_Cont,1.2169754605136707
VIF,Agency_Centered,1.1198747001359761
VIF,EVM_Post_Agency,1.0992541615242446
VIF,Urban_Pct_ihs,1.461832251285322
VIF,Turnout_96,1.2640006138044062
VIF,Lit_Pct,1.730563218936173
VIF,SC_Pct,1.525589128026071
VIF,ST_Pct_ihs,1.5615789866686058
Pre-Trend,EVMxAgency_Placebo_Beta,-3.8488560954589772
Pre-Trend,EVMxAgency_Placebo_PVal,0.12480580993133863
Influence,CooksD_Outliers_Dropped,18.0
Mechanism,Agency_Patriarchy_Corr,0.16933167192593082
