shrid2,state_name,district_name,pc91_state_id,pc91_district_id
11-02-023-00083-006674,himachal pradesh,chamba,09,01
11-02-024-00093-008264,himachal pradesh,kangra,09,02
11-02-025-00114-012146,himachal pradesh,lahul spiti,09,08
11-02-026-00117-012658,himachal pradesh,kullu,09,07
11-02-027-00123-012986,himachal pradesh,mandi,09,06
11-02-028-00140-016325,himachal pradesh,hamirpur,09,03
11-02-029-00147-018048,himachal pradesh,una,09,04
11-02-030-00152-018896,himachal pradesh,bilaspur,09,05
11-02-031-00158-019957,himachal pradesh,solan,09,10
11-02-032-00167-022506,himachal pradesh,sirmaur,09,11
11-02-033-00177-023490,himachal pradesh,shimla,09,09
11-02-034-00194-026714,himachal pradesh,kinnaur,09,12
11-03-035-00200-027374,punjab,gurdaspur,20,01
11-03-036-00205-028994,punjab,kapurthala,20,06
11-03-037-00209-029685,punjab,jalandhar,20,05
11-03-037-00209-029705,punjab,jalandhar,20,03
11-03-038-00214-030638,punjab,hoshiarpur,20,07
11-03-039-00218-032058,punjab,shahid bhagat singh nagar,20,05
11-03-039-00219-032345,punjab,shahid bhagat singh nagar,20,07
11-03-040-00220-032530,punjab,fatehgarh sahib,20,09
11-03-040-00220-032540,punjab,fatehgarh sahib,20,08
11-03-041-00224-032989,punjab,ludhiana,20,07
11-03-041-00224-032997,punjab,ludhiana,20,05
11-03-041-00224-800189,punjab,ludhiana,20,04
11-03-041-00225-033196,punjab,ludhiana,20,09
11-03-041-00229-033718,punjab,ludhiana,20,10
11-03-042-00231-033895,punjab,moga,20,12
11-03-042-00233-034035,punjab,moga,20,03
11-03-043-00234-034223,punjab,firozpur,20,03
11-03-044-00239-035227,punjab,muktsar,20,12
11-03-044-00241-035418,punjab,muktsar,20,03
11-03-045-00242-035461,punjab,faridkot,20,12
11-03-046-00244-035634,punjab,bathinda,20,11
11-03-047-00247-035920,punjab,mansa,20,11
11-03-048-00250-036160,punjab,patiala,20,09
11-03-049-00255-037086,punjab,amritsar,20,02
11-03-050-00259-037851,punjab,tarn taran,20,02
11-03-050-00260-038180,punjab,tarn taran,20,03
